"","ID","sex","class","motor","transport","timetravel","walkdist","streetpark","convenience","shuttle","wait4shuttle","pay4shuttle","pay4shuttle_num","wait4shuttle_num"
"189",2529,"Female","Staff","yes","Auto",47,"1/4 - 1/2 mile","never","poor","Maybe","will not ride","$0 ",0,NA
"190",2568,"Female","Staff","yes","Auto",60,"1/2 - 1 mile","sometimes","fair","Maybe","9","$0.50 ",0.5,9
"191",2570,"Female","Staff","yes","Auto",52,"1+ miles","sometimes","fair","Yes","6","$0 ",0,6
"192",2595,"Male","Staff","yes","Auto",56,"<1/4 mile","never","very good","Maybe","will not ride","$0.50 ",0.5,NA
"193",2605,"Female","Staff","yes","Auto",43,"1/4 - 1/2 mile","sometimes","poor","Yes","12","$1 ",1,12
"194",2615,"Female","Staff","yes","Auto",54,"1/2 - 1 mile","never","fair","Yes","9","$1 ",1,9
"195",2651,"Female","Staff","yes","Auto",47,"1/4 - 1/2 mile","sometimes","good","Yes","4","$0 ",0,4
"196",2659,"Female","Faculty","yes","Auto",47,"1+ miles","never","good","Yes","15","$0.50 ",0.5,15
"197",2672,"Female","Faculty","yes","Bicycle",42,"1/2 - 1 mile","always","poor","Yes","14","$0.50 ",0.5,14
"198",2680,"Female","Faculty","yes","Auto",49,"1+ miles","sometimes","fair","Yes","5","$0.50 ",0.5,5
"199",2776,"Female","Staff","yes","Walk",55,"<1/4 mile","sometimes","fair","Yes","3","will not ride",NA,3
"200",2787,"Female","Staff","yes","Walk",47,"1/4 - 1/2 mile","never","good","Yes","7","$0.50 ",0.5,7
