"","ID","sex","class","motor","transport","timetravel","walkdist","streetpark","convenience","shuttle","wait4shuttle","pay4shuttle"
"92",1530,"Male","Senior","yes","Auto",21,"1/2 - 1 mile","never","good","Maybe","9","$0.50 "
"93",1533,"Female","Sophomore","yes","Auto",24,"1/4-1/2 mile","never","poor","Yes","8","$0 "
"94",1540,"Male","Junior","yes","Auto",0,"1/4-1/2 mile","never","fair","Yes","9","$0.50 "
"95",1542,"Female","Freshman","yes","Bus",7,"1+ miles","never","good","Maybe","13","$0.50 "
"96",1552,"Male","Graduate","yes","Auto",14,"1/4-1/2 mile","never","poor","No","1","$0.50 "
"97",1560,"Male","Freshman","yes","Walk",1,"1/2 - 1 mile","never","fair","Yes","15","$0.50 "
"98",1563,"Male","Senior","yes","Auto",0,"1+ miles","never","fair","Yes","21","$1 "
"99",1577,"Female","Freshman","yes","Auto",56,"1+ miles","sometimes","good","Maybe","will not ride","$0.50 "
"100",1578,"Female","Junior","yes","Walk",7,"1/4-1/2 mile","never","very poor","Maybe","2","$0 "
"101",1604,"Female","Senior","yes","Auto",28,"1/4-1/2 mile","never","poor","Maybe","13","$0.50 "
"102",1637,"Male","Senior","yes","Auto",33,"<1/4 mile","sometimes","very poor","Yes","9","$0 "
"103",1640,"Female","Senior","yes","Auto",22,"1/4-1/2 mile","always","very poor","Yes","7","$0 "
"104",1654,"Male","Senior","yes","Auto",33,"1/2 - 1 mile","never","very poor","Maybe","4","$0 "
"105",1671,"Female","Senior","yes","Auto",25,"1/4-1/2 mile","never","very poor","Yes","4","$0 "
"106",1683,"Female","Junior","yes","Auto",17,"1/2 - 1 mile","always","fair","Maybe","12","$0.50 "
"107",1700,"Male","Sophomore","yes","Auto",25,"1/2 - 1 mile","never","good","Maybe","10","$0 "
"108",1709,"Female","Senior","yes","Auto",11,"1/4-1/2 mile","always","very poor","Yes","14","$1 "
"109",1730,"Female","Freshman","yes","Auto",23,"1/2 - 1 mile","never","fair","Yes","will not ride","$0.50 "
"110",1732,"Female","Freshman","yes","Auto",1,"1/4-1/2 mile","never","very poor","Yes","7","$0.50 "
"111",1734,"Male","Junior","yes","Auto",1,"<1/4 mile","never","fair","Maybe","will not ride","$0 "
"112",1738,"Female","Junior","yes","Auto",12,"1/4-1/2 mile","sometimes","fair","Yes","13","$0 "
"113",1748,"Female","Sophomore","yes","Auto",12,"1/2 - 1 mile","sometimes","fair","Yes","12","$0.50 "
"114",1751,"Male","Junior","yes","Auto",23,"1/4-1/2 mile","never","very poor","Yes","6","$1 "
"115",1761,"Female","Freshman","yes","Auto",8,"1/4-1/2 mile","sometimes","very poor","Yes","9","$1 "
"116",1768,"Male","Graduate","no","Auto",50,"1/2 - 1 mile","always","very poor","Yes","9","$1 "
"117",1770,"Female","Junior","yes","Auto",47,"1/4-1/2 mile","never","fair","No","will not ride","will not ride"
"118",1774,"Male","Graduate","yes","Auto",13,"1/2 - 1 mile","sometimes","poor","Yes","21","$0.50 "
"119",1795,"Female","Freshman","yes","Auto",17,"1+ miles","always","fair","No","1","will not ride"
"120",1797,"Female","Junior","yes","Auto",35,"1/4-1/2 mile","sometimes","fair","Maybe","29","$4 "
"121",1805,"Female","Senior","yes","Auto",28,"1+ miles","never","poor","No","8","$0 "
"122",1806,"Female","Freshman","no","Car Pool",24,"1+ miles","sometimes","fair","Maybe","8","$0.50 "
"123",1814,"Male","Graduate","yes","Auto",13,"1+ miles","sometimes","poor","Maybe","9","$0.50 "
"124",1817,"Female","Senior","yes","Auto",20,"1/2 - 1 mile","sometimes","good","Yes","22","$5 "
"125",1822,"Male","Senior","yes","Auto",18,"1+ miles","never","fair","No","4","$0.50 "
"126",1829,"Female","Graduate","yes","Auto",11,"1/4-1/2 mile","never","good","Yes","9","$0.50 "
"127",1832,"Female","Senior","yes","Car Pool",28,"<1/4 mile","sometimes","fair","Yes","17","$0.50 "
"128",1839,"Female","Graduate","yes","Auto",17,"1/4-1/2 mile","never","poor","Yes","9","$0 "
"129",1842,"Male","Senior","yes","Auto",14,"<1/4 mile","never","very poor","No","will not ride","$0 "
"130",1857,"Male","Graduate","yes","Auto",20,"1/4-1/2 mile","never","good","Maybe","7","$0.50 "
"131",1860,"Female","Sophomore","yes","Auto",13,"<1/4 mile","never","very good","Yes","8","$0 "
"132",1868,"Male","Senior","yes","Auto",5,"<1/4 mile","always","very poor","No","3","$0.50 "
